px_code,description,price
11000001,HC ROOM & BOARD PVT,"1,172.00"
11200001,HC ROOM & BOARD OB PVT,"1,172.00"
11200002,HC ROOM & BOARD  ANTENTAL-I,"2,617.00"
11300001,HC ROOM & BOARD PEDS PVT,"1,172.00"
11800001,HC ROOM & BOARD REHAB PVT,"2,077.00"
12000001,HC ROOM & BOARD SEMI-PVT,"1,047.00"
12800001,HC ROOM & BOARD REHAB SEMI-PVT,"1,966.00"
17000001,HC ROOM & BOARD NURSERY,"1,766.00"
17200001,HC ROOM & BOARD NURSERY LEVEL II,"2,995.00"
17300001,HC ROOM & BOARD NURSERY LEVEL III,"4,567.00"
17400001,HC ROOM & BOARD NEONATAL LEVEL IV,"4,980.00"
20100001,HC ROOM & BOARD ICU SURGICAL,"4,003.00"
20100002,HC ROOM & BOARD NEURO ICU,"4,155.00"
20200001,HC ROOM & BOARD ICU MEDICAL,"4,003.00"
20300001,HC ROOM & BOARD ICU PEDS,"2,906.00"
20600001,HC ROOM & BOARD PED STEPDOWN,"2,473.00"
20600002,HC ROOM & BOARD STEPDOWN,"2,473.00"
20600003,HC ROOM & BOARD ICU STEPDOWN,"2,473.00"
20600004,HC ROOM & BOARD ANGIO STEPDOWN,"2,855.00"
21000001,HC ROOM & BOARD CORONARY CARE,"4,003.00"
21400001,HC ROOM & BOARD TELEMETRY/MONITORED,"1,907.00"
21900001,HC ROOM & BOARD CTSU-ICU,"4,498.00"
25800001,HC SUPPLY RC 258,0
25800002,HC WILLOW PHARMACY RC 258,0
25900001,HC WILLOW PHARMACY RC 259,0
27000001,HC Supply RC 270,0
27000003,HC ARROW PNEUMOTHORAX KIT,740.48
27000004,HC TENCKHOFF INSERTION KIT,491.68
27000005,HC PACING-DEFIBRILL. ELECT. DISP,267.97
27000006,HC CS PACING CATHETER PROBE,"1,029.99"
27000007,HC MONITORING KIT - NEONATAL,89.01
27000008,HC MONITORING KIT - SINGLE LINE,127.89
27000009,HC TRANSDUCER TL SAFESET TRANSPAC,380.8
27000010,HC TRANSDUCER DL SAFESET TRANSPAC,327.66
27000011,HC CS FRACTURE SOCK,139.74
27000012,HC TRACH TUBE DISP IN CANN 6 X LT,43.73
27000013,HC MONITORING KIT,82.29
27000014,HC USCI PACING ELECTRODE 4FR,961.5
27000015,HC MULTI-PURPOSE PACING SWAN GAN,"1,216.57"
27000016,HC SORENSON INTRODUCER,133.79
27000018,HC DISPOSABLE SOFT CHAIR CUSHION,156.23
27000019,HC AUTO-TRANSFUSION PLEUR-EVAC,199.52
27000020,HC QUICK PACE PACING ELECTRODE,290.41
27000021,HC URI-METER,82.96
27000022,HC PEDIATRIC SHILEY TRACH TUBE,337.51
27000023,HC ADULT SHILEY TRACH TUBE,382.1
27000024,HC BALLARD TRACHEAL SUCTION SYST,66.69
27000025,HC CVP CATHER KIT  DISP.,165.11
27000026,HC THORACOSTOMY KIT  DISP,313.96
27000027,HC SKIN STAPLER DISP,84.16
27000028,HC PARACARDIOCENTESIS SET,850.62
27000029,HC CO-SET,139.73
27000030,HC DRAIN TUBE ATTACHMENT,62.41
27000031,HC E WALL STOMACH TUBE,240.43
27000035,HC EXTERNAL PACING ELECTRODE,488.26
27000036,HC TRU-CUT BIOPSY NEEDLE,273.99
27000037,HC CHEST BINDER,535.76
27000038,HC ORTHO POST-OP KNEE SPLINT,169.3
27000039,HC ORTHO CERVICAL COLLAR,36.11
27000040,HC ORTHO CLAVICLE SPLINT,50.19
27000041,HC ORTHO RIB BELT,48.34
27000042,HC ORTHO SHOULDER IMMOBILIZER,35.54
27000043,HC ORTHO CAST BOOT,53.08
27000044,HC ORTHO BUCKS TRACTION,100.61
27000045,HC ORTHO WRIST & FOREARM SPLINT,58.16
27000046,HC ORTHO K-THERMIA PAD,159.34
27000047,HC ORTHO ARM ELEVATORS,77.43
27000048,HC ORTHO BUNION SHOE,113.65
27000049,HC ORTHO HEEL PROTECTORS PAIR,41.42
27000050,"HC COLLAR PHILADELPHIA 8-11""",150.33
27000051,HC AIR CAST ANKLE BRACE,185.27
27000052,HC DRESSING  TEGADERM,21.37
27000053,HC RING  DONUT FOAM RUBBER,13.61
27000054,HC CONNECTOR 5-IN-1 PLASTIC,12
27000055,HC DRAINAGE BAG  URINARY,42.46
27000057,HC FEEDING SET/BAG FOR PUMP,25.86
27000058,HC CATH  TROCAR,173.69
27000059,HC CATH  COUDE 5CC BAG,158.49
27000060,HC TRANSPAC II TRANSDUCER,86.17
27000061,HC ET TUBE CHANGER,63.71
27000062,HC MEDIPORE,115.95
