Px Code,Generic Name,NDC,Unit Price
25000002,<INS-3> INOSITOL OR PLACEBO,99999910070,0.20
63600002,0.9 % SODIUM CHLORIDE (WITH PHENOL) INJECTION SOLUTION,65044999005,7.28
63700001,ABACAVIR 20 MG/ML ORAL SOLUTION,49702022248,"1,159.13"
63700001,ABACAVIR 300 MG TABLET,00378410591,66.09
63700001,ABACAVIR 300 MG TABLET,49702022144,73.52
63700001,ABACAVIR 300 MG TABLET,51079020401,66.09
63700001,ABACAVIR 300 MG TABLET,51079020406,66.09
63700001,ABACAVIR 300 MG TABLET,65862007360,66.10
63700001,ABACAVIR 300 MG TABLET,68084002111,66.06
63700001,ABACAVIR 300 MG-LAMIVUDINE 150 MG-ZIDOVUDINE 300 MG TABLET,49702021718,176.75
63600002,ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION,00003218710,"3,908.64"
63600002,ABATACEPT 125 MG/ML SUBCUTANEOUS AUTO-INJECTOR,00003218851,"3,790.28"
63600002,ABATACEPT 50 MG/0.4 ML SUBCUTANEOUS SYRINGE,00003281411,"3,790.28"
63600002,ABATACEPT 87.5 MG/0.7 ML SUBCUTANEOUS SYRINGE,00003281811,"3,790.28"
63600002,ABCIXIMAB 10 MG/5 ML INTRAVENOUS SOLUTION,00002714001,"4,902.48"
63700001,"ACAMPROSATE 333 MG TABLET,DELAYED RELEASE",00456333001,11.56
63700001,"ACAMPROSATE 333 MG TABLET,DELAYED RELEASE",68462043518,11.56
63700001,ACARBOSE 50 MG TABLET,00054014120,6.77
63700001,ACARBOSE 50 MG TABLET,47781034101,6.37
63700001,ACEBUTOLOL 200 MG CAPSULE,50268005011,7.12
63700001,ACEBUTOLOL 200 MG CAPSULE,50268005015,7.12
63700001,ACEBUTOLOL 200 MG CAPSULE,65162066910,6.63
63600002,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV",43825010201,296.10
63600002,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV",99999100572,2.96
63600002,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV",99999100573,2.96
63700001,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,00713011806,3.88
63700001,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,00713011812,3.88
63700001,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,00713011850,3.99
63700001,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,45802073200,3.84
63700001,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,45802073230,3.84
63700001,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,45802073233,2.43
63700001,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,51672211500,5.28
63700001,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,51672211502,5.28
63700001,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION,00121050405,9.77
63700001,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION,17856007905,13.16
63700001,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION,50383007905,10.20
63700001,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION,50383007906,10.20
63700001,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION,99999100437,4.80
63700001,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLUTION,50383007916,4.00
63700001,ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SOLUTION,00121065705,17.04
63700001,ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION,00121178100,9.15
63700001,ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION,00121178105,9.15
