Px Code,Procedure Description,Unit Price
27200213,HC Supply RC 272 C1892,510.87
27200213,HC Supply RC 272 C1892,447.46
27200213,HC Supply RC 272 C1892,455.82
27200277,HC CATH TRAY FO 18FR SILV,163.65
27200278,HC CATH TRAY FO 16FR URINMET SILV,211.95
27200279,HC CATH TRAY FO TEMP 16FR SILV,312.3
27200280,HC CATH TRAY FO TEMP 18FR SILV,312.3
27200281,HC CATH TRAY FO 16FR,133.4
27200282,HC CATH TRAY FO 18FR,133.4
27200286,HC Supply RC 272 C1769,449.93
27200286,HC Supply RC 272 C1769,533.89
27200286,HC Supply RC 272 C1769,171.36
27200286,HC Supply RC 272 C1769,338.11
27200286,HC Supply RC 272 C1769,413.35
27200286,HC Supply RC 272 C1769,413.43
27200286,HC Supply RC 272 C1769,"1,005.79"
27200286,HC Supply RC 272 C1769,"2,204.62"
27200286,HC Supply RC 272 C1769,424.34
27200286,HC Supply RC 272 C1769,513.28
27200286,HC Supply RC 272 C1769,425.62
27200286,HC Supply RC 272 C1769,483.24
27200286,HC Supply RC 272 C1769,709.85
27200286,HC Supply RC 272 C1769,390.27
27200286,HC Supply RC 272 C1769,382.88
27200286,HC Supply RC 272 C1769,457.53
27200286,HC Supply RC 272 C1769,444.25
27200286,HC Supply RC 272 C1769,160.76
27200286,HC Supply RC 272 C1769,317.02
27200286,HC Supply RC 272 C1769,269.89
27200286,HC Supply RC 272 C1769,214.2
27200286,HC Supply RC 272 C1769,254.47
27200286,HC Supply RC 272 C1769,311.02
27200286,HC Supply RC 272 C1769,"1,122.80"
27200286,HC Supply RC 272 C1769,147.14
27200286,HC Supply RC 272 C1769,295.92
27200286,HC Supply RC 272 C1769,296.99
27200286,HC Supply RC 272 C1769,298.7
27200286,HC Supply RC 272 C1769,160.65
27200286,HC Supply RC 272 C1769,317.77
27200286,HC Supply RC 272 C1769,994.64
27200287,HC Supply RC 272 C1773,"2,005.50"
27200287,HC Supply RC 272 C1773,"5,893.31"
27200287,HC Supply RC 272 C1773,"10,858.35"
27200287,HC Supply RC 272 C1773,"10,858.35"
27200287,HC Supply RC 272 C1773,"10,858.35"
27200288,HC Supply RC 272 C1726,"1,808.67"
27200288,HC Supply RC 272 C1726,"1,433.07"
27200288,HC Supply RC 272 C1726,"1,679.23"
27200288,HC Supply RC 272 C1726,"1,433.07"
27200288,HC Supply RC 272 C1726,"1,583.43"
27200288,HC Supply RC 272 C1726,"1,157.46"
27200288,HC Supply RC 272 C1726,"1,174.65"
27200288,HC Supply RC 272 C1726,966.19
27200288,HC Supply RC 272 C1726,"1,214.76"
27200288,HC Supply RC 272 C1726,"1,091.68"
27200288,HC Supply RC 272 C1726,"1,289.25"
27200288,HC Supply RC 272 C1726,"1,117.35"
27000003,HC ARROW PNEUMOTHORAX KIT,"2,836.35"
27200289,HC Supply RC 272 C1782,"3,832.22"
27800049,HC SUPPLY RC 278 Q4118,"2,979.60"
27800049,HC SUPPLY RC 278 Q4118,"6,876.00"
27800049,HC SUPPLY RC 278 Q4118,"12,686.22"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
27600002,HC SUPPLY RC 276 V2632,"1,074.68"
27600002,HC SUPPLY RC 276 V2632,"1,194.98"
